time	V(n001)	V(n003)	I(R1)
6.500100000000000e-04	2.400000e+01	1.203798e+01	2.006330e+00
6.502749160738322e-04	2.400000e+01	1.202652e+01	2.004420e+00
6.505398321476643e-04	2.400000e+01	1.201656e+01	2.002759e+00
6.508047482214964e-04	2.400000e+01	1.200808e+01	2.001347e+00
6.510696642953285e-04	2.400000e+01	1.200110e+01	2.000183e+00
6.513345803691607e-04	2.400000e+01	1.199561e+01	1.999268e+00
6.515994964429927e-04	2.400000e+01	1.199161e+01	1.998601e+00
6.518644125168249e-04	2.400000e+01	1.198910e+01	1.998183e+00
6.528409750168249e-04	2.400000e+01	1.198847e+01	1.998078e+00
6.538175375168249e-04	2.400000e+01	1.200223e+01	2.000372e+00
6.539878893001357e-04	2.400000e+01	1.200673e+01	2.001122e+00
6.541582410834463e-04	2.400000e+01	1.201181e+01	2.001968e+00
6.543285928667571e-04	2.400000e+01	1.201745e+01	2.002909e+00
6.544989446500678e-04	2.400000e+01	1.202368e+01	2.003946e+00
6.546692964333786e-04	2.400000e+01	1.203047e+01	2.005079e+00
6.548396482166893e-04	2.400000e+01	1.203784e+01	2.006307e+00
6.550100000000000e-04	2.400000e+01	1.204579e+01	2.007631e+00
6.550186866713997e-04	2.400000e+01	1.204620e+01	2.007701e+00
6.550191642454362e-04	2.400000e+01	1.204623e+01	2.007704e+00
6.550200000000001e-04	2.400000e+01	1.204627e+01	2.007711e+00
6.553551243732076e-04	2.400000e+01	1.206038e+01	2.010063e+00
6.556902487464153e-04	2.400000e+01	1.207222e+01	2.012038e+00
6.560253731196228e-04	2.400000e+01	1.208181e+01	2.013636e+00
6.563604974928305e-04	2.400000e+01	1.208914e+01	2.014857e+00
6.566956218660380e-04	2.400000e+01	1.209421e+01	2.015701e+00
6.570307462392457e-04	2.400000e+01	1.209701e+01	2.016169e+00
6.573658706124533e-04	2.400000e+01	1.209756e+01	2.016259e+00
6.583424331124533e-04	2.400000e+01	1.209037e+01	2.015061e+00
6.585792283821014e-04	2.400000e+01	1.208668e+01	2.014446e+00
6.588160236517494e-04	2.400000e+01	1.208174e+01	2.013624e+00
6.590528189213975e-04	2.400000e+01	1.207556e+01	2.012594e+00
6.592896141910455e-04	2.400000e+01	1.206814e+01	2.011356e+00
6.595264094606937e-04	2.400000e+01	1.205947e+01	2.009911e+00
6.597632047303417e-04	2.400000e+01	1.204955e+01	2.008258e+00
6.599999999999898e-04	2.400000e+01	1.203839e+01	2.006398e+00
6.600000427462306e-04	2.400000e+01	1.203838e+01	2.006397e+00
6.600000854924816e-04	2.400000e+01	1.203838e+01	2.006397e+00
6.600001709849835e-04	2.400000e+01	1.203838e+01	2.006396e+00
6.600003419699875e-04	2.400000e+01	1.203837e+01	2.006395e+00
6.600006839399953e-04	2.400000e+01	1.203835e+01	2.006392e+00
6.600013678800111e-04	2.400000e+01	1.203832e+01	2.006387e+00
6.600100000000000e-04	2.400000e+01	1.203791e+01	2.006318e+00
6.602749160738322e-04	2.400000e+01	1.202645e+01	2.004408e+00
6.605398321476643e-04	2.400000e+01	1.201648e+01	2.002747e+00
6.608047482214964e-04	2.400000e+01	1.200801e+01	2.001334e+00
6.610696642953285e-04	2.400000e+01	1.200102e+01	2.000171e+00
6.613345803691607e-04	2.400000e+01	1.199553e+01	1.999255e+00
6.615994964429927e-04	2.400000e+01	1.199153e+01	1.998589e+00
6.618644125168249e-04	2.400000e+01	1.198902e+01	1.998171e+00
6.628409750168249e-04	2.400000e+01	1.198839e+01	1.998065e+00
6.638175375168249e-04	2.400000e+01	1.200215e+01	2.000359e+00
6.639878893001357e-04	2.400000e+01	1.200665e+01	2.001109e+00
6.641582410834464e-04	2.400000e+01	1.201173e+01	2.001954e+00
6.643285928667572e-04	2.400000e+01	1.201737e+01	2.002895e+00
6.644989446500678e-04	2.400000e+01	1.202360e+01	2.003932e+00
6.646692964333786e-04	2.400000e+01	1.203039e+01	2.005065e+00
6.648396482166893e-04	2.400000e+01	1.203776e+01	2.006294e+00
6.650100000000001e-04	2.400000e+01	1.204571e+01	2.007618e+00
